case,location,date,summary,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,legal_weapon,where_obtained,weapon_type,weapon_details,race,gender,sources,mental_health_sources,sources_additional_age,latitude,longitude,type,year,Place,,State,Hist_Unemp_St,,Fatality Status
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",42741,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. (Numerous other people were reportedly injured while fleeing during the panic.)",5,6,11,Airport,26,Yes,"Among other signs, Santiago had gone to a FBI office in Anchorage and complained that his mind was being controlled by the CIA.",Yes,-,"semiautomatic handgun
",Walther 9mm semi-automatic pistol[,Latino,M,http://www.nytimes.com/2017/01/07/us/esteban-santiago-fort-lauderdale-airport-shooting-.html?_r=0,http://www.nytimes.com/2017/01/07/us/esteban-santiago-fort-lauderdale-airport-shooting-.html?_r=0,http://www.nytimes.com/2017/01/07/us/esteban-santiago-fort-lauderdale-airport-shooting-.html?_r=0,26.072751,-80.143382,Mass,2017,"Fort Lauderdale, Florida",7,Florida,High Umemployment,,Low Fatalities
Trestle Trail bridge shooting,"Menasha, Wisconsin",42166,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",3,1,4,Other,27,Yes,"While serving in the Air Force, he went to an emergency walk-in clinic because of concerns over his mood swings, and had either sought or been ordered to behavioral health interventions, according to Fox 6 Now. In a 2014 risk assessment with a psychologist at an outpatient clinic in Appleton, Valencia del Toro recalled thinking previously: ""If I'm gonna take myself out, I might as well take other people with me."" The police report obtained by Fox 6 says that Valencia del Toro had a history of depression, suicidal and occassionally homicidal thoughts, and alcoholism. He was intoxicated on the day of the shooting.",Yes,Unclear,"Two handguns
","Details unclear, but after the shooting, police found eight guns in total in Valencia del Toro's home, including handguns, shotguns, and rifles, plus and more than 1,000 rounds of ammunition. He took two weapons and ammunition to the bridge.",Latino,M,http://fox6now.com/2015/06/11/released-menasha-police-issue-final-report-on-trestle-trail-bridge-shooting/ and http://www.postcrescent.com/story/news/local/2015/06/11/police-gunman-prior-suicidal-homicidal-thoughts/71064874/ and http://fox6now.com/2015/05/05/he-was-my-future-husband-fiancee-of-menasha-gunman-says-shes-devastated-for-victims-families/,-,http://fox6now.com/2015/06/11/released-menasha-police-issue-final-report-on-trestle-trail-bridge-shooting/ and http://www.postcrescent.com/story/news/local/2015/06/11/police-gunman-prior-suicidal-homicidal-thoughts/71064874/ and http://fox6now.com/2015/05/05/he-was-my-future-husband-fiancee-of-menasha-gunman-says-shes-devastated-for-victims-families/,44.204124,-88.467541,Mass,2015,"Menasha, Wisconsin",9,Wisconsin,Low Unemployment,,Low Fatalities
Isla Vista mass murder,"Santa Barbara, California",41782,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",6,13,19,School,22,Yes,"Rodger was never hospitalized due to mental illness, but had a long history of mental health issues dating back to his childhood, and received treatment from multiple counselors leading up to his rampage. According to The Independent, Rodger had considered suicide but had no history of violence. Just before his rampage, he sent a 137-page manifesto to multiple people.",Yes,-,Three semi-automatic handguns and two hunting knives,"Two Sig Sauer P226 semiautomatic pistols and Glock 34 pistol, and hundreds of rounds of ammo. A 6- inchand 8-inch “SRK” and “Boar Hunter” hunting knives.",White,M,http://www.sbsheriff.us/documents/ISLAVISTAINVESTIGATIVESUMMARY.pdf Also: http://www.cnn.com/2014/05/24/us/santa-barbara-isla-vista-shooting-profile/ and http://www.cnn.com/2014/05/24/justice/california-shooting-deaths/index.html and http://www.independent.com/news/2015/feb/20/elliot-rodger-report-details-long-struggle-mental-/ and http://www.cbsnews.com/videos/how-was-elliot-rodger-able-to-purchase-weapons/ and http://www.dailymail.co.uk/news/article-2638922/Santa-Barbara-rampage-killer-bought-three-handguns-legally-gun-shop.html,-,http://www.sbsheriff.us/documents/ISLAVISTAINVESTIGATIVESUMMARY.pdf Also: http://www.cnn.com/2014/05/24/us/santa-barbara-isla-vista-shooting-profile/ and http://www.cnn.com/2014/05/24/justice/california-shooting-deaths/index.html and http://www.independent.com/news/2015/feb/20/elliot-rodger-report-details-long-struggle-mental-/ and http://www.cbsnews.com/videos/how-was-elliot-rodger-able-to-purchase-weapons/ and http://www.dailymail.co.uk/news/article-2638922/Santa-Barbara-rampage-killer-bought-three-handguns-legally-gun-shop.html,34.436283,-119.8714406,Mass,2014,"Santa Barbara, California",10,California,High Umemployment,,Low Fatalities
Washington Navy Yard shooting,"Washington, D.C.",41533,"Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.",12,8,20,Military,34,Yes,"Had told Rhode Island police the prior month that he'd ""heard voices""; had been undergoing mental health treatment with Veterans Affairs since August 2013.",Yes,Sharpshooters Small Arms Range,"Sawed-off shotgun, 2 boxes of shells; also a .45-caliber handgun taken from a security guard he shot at the scene.",Remington 870 Express 12-gauge shotgun; Beretta handgun,Black,Male,http://www.nytimes.com/2013/09/18/us/state-law-stopped-gunman-from-buying-rifle-officials-say.html; http://edition.cnn.com/2013/09/17/us/navy-yard-shooting-military-contractors; http://www.fbi.gov/washingtondc/press-releases/2013/law-enforcement-shares-findings-of-the-investigation-into-the-washington-navy-yard-shootings/index.html,http://bigstory.ap.org/article/13-killed-washington-navy-yard-shooting-rampage,http://www.nytimes.com/2013/09/18/us/state-law-stopped-gunman-from-buying-rifle-officials-say.html; http://edition.cnn.com/2013/09/17/us/navy-yard-shooting-military-contractors; http://www.fbi.gov/washingtondc/press-releases/2013/law-enforcement-shares-findings-of-the-investigation-into-the-washington-navy-yard-shootings/index.html,38.874981,-76.99453,Mass,2013,"Washington, D.C.",4,D.C.,Low Unemployment,,More Fatalities
Santa Monica rampage,"Santa Monica, California",41432,"John Zawahri, 23, armed with a homemade assault rifle and high-capacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police.",6,3,9,"Other
",23,Yes,He was known as a solitary teen who regularly ditched class and had an interest in assault weapons; he had been admitted to UCLA's psychiatric ward for a brief period.,Yes,Assembled a rifle out of component parts.,"Assault rifle, high capacity magazines, antique handgun
",".223-caliber semi-automatic assault rifle, about 40 high capacity magazines, ""black powder"" handgun (likely antique)",White,Male,http://www.cbsnews.com/8301-504083_162-57589327-504083/john-zawahri-suspected-gunman-in-deadly-santa-monica-shooting-left-farewell-note-police-say/,"http://www.cbsnews.com/8301-504083_162-57589327-504083/john-zawahri-suspected-gunman-in-deadly-santa-monica-shooting-left-farewell-note-police-say/   http://www.latimes.com/news/local/la-me-0611-santa-monica-shooting-20130611,0,1490078.story",http://www.cbsnews.com/8301-504083_162-57589327-504083/john-zawahri-suspected-gunman-in-deadly-santa-monica-shooting-left-farewell-note-police-say/,34.008617,-118.494754,Mass,2013,"Santa Monica, California",10,California,High Umemployment,,Low Fatalities
Pinewood Village Apartment shooting,"Federal Way, Washington",41385,"Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police.",5,0,5,"Other
",27,No,-,Yes,Unknown,"Semiautomatic handgun, shotgun",".40 caliber semi-automatic handgun, pistol grip shotgun",Black,Male,http://seattletimes.com/html/localnews/2020836119_federalwayshootingxml.html,-,http://seattletimes.com/html/localnews/2020836119_federalwayshootingxml.html,47.3129607,-122.3393665,Mass,2013,"Federal Way, Washington",10,Washington,High Umemployment,,Low Fatalities
Mohawk Valley shootings,"Herkimer County, New York",41346,"Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff.",5,2,7,Other,64,No,-,Yes,"Frank's Guns in Marcy, NY",Shotgun,Unknown,White,Male,https://www.nyspnews.com/article_display.cfm?article_id=29584,http://poststar.com/news/local/state-and-regional/cops-kill-suspect-in-deadly-mohawk-valley-shooting-rampage/article_15260208-8bf5-11e2-b2d9-0019bb2963f4.html,https://www.nyspnews.com/article_display.cfm?article_id=29584,43.045601,-74.984891,Mass,2013,"Herkimer County, New York",8,New York,High Umemployment,,Low Fatalities
Sandy Hook Elementary massacre,"Newtown, Connecticut",41257,"Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide.",27,2,29,School,20,Yes,"Lanza had a history of serious mental health problems that were known to his family and others, as detailed in a post-massacre investigation by Connecticut authorities.",No,Stolen from mother,"Two semiautomatic handguns, one rifle (assault), one shotgun (assault)","10mm Glock, 9mm SIG Sauer P226 semiautomatic handguns; .223 Bushmaster XM15-E2S semiautomatic rifle; Izhmash Saiga-12 12-gauge semiautomatic shotgun",white,Male,http://usnews.nbcnews.com/_news/2012/12/14/15911025-authorities-id-gunman-who-killed-27-in-elementary-school-massacre?lite; http://articles.washingtonpost.com/2012-12-14/local/35846977_1_law-enforcement-lanza-brothers-kid,http://usnews.nbcnews.com/_news/2012/12/14/15911025-authorities-id-gunman-who-killed-27-in-elementary-school-massacre?lite; http://articles.washingtonpost.com/2012-12-14/local/35846977_1_law-enforcement-lanza-brothers-kid,http://usnews.nbcnews.com/_news/2012/12/14/15911025-authorities-id-gunman-who-killed-27-in-elementary-school-massacre?lite; http://articles.washingtonpost.com/2012-12-14/local/35846977_1_law-enforcement-lanza-brothers-kid,41.4123225,-73.31142358,Mass,2012,"Newtown, Connecticut",11,Connecticut,Low Unemployment,,More Fatalities
Accent Signage Systems shooting,"Minneapolis, Minnesota",41179,"Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.",7,1,8,Workplace,36,Yes,"His family worried about his ""paranoia and delusions"" for at least two years prior, and tried to get him to seek treatment.",Yes,Unknown,One semiautomatic handgun,9mm Glock semiautomatic handgun,white,Male,http://www.startribune.com/local/171774461.html?refer=y,http://www.startribune.com/local/171774461.html?refer=y,http://www.startribune.com/local/171774461.html?refer=y,44.977425,-93.310408,Mass,2012,"Minneapolis, Minnesota",9,Minnesota,Low Unemployment,,Low Fatalities
Sikh temple shooting,"Oak Creek, Wisconsin",41126,"U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a self-inflicted gunshot would during a shootout with police.",7,3,10,Religious,40,Yes,"His Army friends once broke into his apartment, fearing he'd commit suicide in the '90s. A psychiatric nurse who lived downstairs from Page said it was ""obvious"" he had a mental illness.",Yes,Unknown,One semiautomatic handgun,9mm Springfield Armory XDM semiautomatic handgun,white,Male,http://www.jsonline.com/news/milwaukee/friend-of-page-feared-what-he-might-do-426edmg-165668826.html; http://usnews.nbcnews.com/_news/2012/09/10/13785426-officer-arriving-at-sikh-temple-shooting-time-to-use-deadly-force?lite; http://articles.latimes.com/2012/aug/08/nation/la-na-nn-sikh-shooting-guns-20120807; http://www.bbc.co.uk/news/world-us-canada-19183359,http://www.jsonline.com/news/milwaukee/friend-of-page-feared-what-he-might-do-426edmg-165668826.html,http://www.jsonline.com/news/milwaukee/friend-of-page-feared-what-he-might-do-426edmg-165668826.html; http://usnews.nbcnews.com/_news/2012/09/10/13785426-officer-arriving-at-sikh-temple-shooting-time-to-use-deadly-force?lite; http://articles.latimes.com/2012/aug/08/nation/la-na-nn-sikh-shooting-guns-20120807; http://www.bbc.co.uk/news/world-us-canada-19183359,42.8858503,-87.8631362,Mass,2012,"Oak Creek, Wisconsin",9,Wisconsin,Low Unemployment,,Low Fatalities
